"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1989","01","Jan","Wet","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower San Joaquin River","bifenthrin",NA,NA,NA,NA,NA,"1989 01"
"1989","02","Feb","Wet","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower San Joaquin River","bifenthrin",NA,NA,NA,NA,NA,"1989 02"
"1989","03","Mar","Wet","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Lower Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Lower San Joaquin River","bifenthrin",NA,NA,NA,NA,NA,"1989 03"
"1989","04","Apr","Wet","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Lower Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Lower San Joaquin River","bifenthrin",NA,NA,NA,NA,NA,"1989 04"
"1989","05","May","Dry","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Lower Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Lower San Joaquin River","bifenthrin",NA,NA,NA,NA,NA,"1989 05"
"1989","06","Jun","Dry","NW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","NE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","SW Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","SE Suisun","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","Suisun Marsh","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","Yolo Bypass","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","East Delta","bifenthrin",NA,NA,NA,NA,NA,"1989 06"
