"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1989","01","Jan","Wet","NW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","NE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Suisun Marsh","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Yolo Bypass","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","East Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower San Joaquin River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 01"
"1989","02","Feb","Wet","NW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","NE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Suisun Marsh","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Yolo Bypass","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","East Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower San Joaquin River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 02"
"1989","03","Mar","Wet","NW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","NE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SW Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Suisun Marsh","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1989 03"
