"RiskRegion","Analyte","1989 01","1989 02","1989 03","1989 04","1989 05","1989 06","1989 07","1989 08","1989 09","1989 10","1989 11","1989 12","1990 01","1990 02","1990 03","1990 04","1990 05","1990 06","1990 07","1990 08","1990 09","1990 10","1990 11","1990 12","1991 01","1991 02","1991 03","1991 04","1991 05","1991 06","1991 07","1991 08","1991 09","1991 10","1991 11","1991 12","1992 01","1992 02","1992 03","1992 04","1992 05","1992 06","1992 07","1992 08","1992 09","1992 10","1992 11","1992 12","1993 01","1993 02","1993 03","1993 04","1993 05","1993 06","1993 07","1993 08","1993 09","1993 10","1993 11","1993 12","1994 01","1994 02","1994 03","1994 04","1994 05","1994 06","1994 07","1994 08","1994 09","1994 10","1994 11","1994 12","1995 01","1995 02","1995 03","1995 04","1995 05","1995 06","1995 07","1995 08","1995 09","1995 10","1995 11","1995 12","1996 01","1996 02","1996 03","1996 04","1996 05","1996 06","1996 07","1996 08","1996 09","1996 10","1996 11","1996 12","1997 01","1997 02","1997 03","1997 04","1997 05","1997 06","1997 07","1997 08","1997 09","1997 10","1997 11","1997 12","1998 01","1998 02","1998 03","1998 04","1998 05","1998 06","1998 07","1998 08","1998 09","1998 10","1998 11","1998 12","1999 01","1999 02","1999 03","1999 04","1999 05","1999 06","1999 07","1999 08","1999 09","1999 10","1999 11","1999 12","2000 01","2000 02","2000 03","2000 04","2000 05","2000 06","2000 07","2000 08","2000 09","2000 10","2000 11","2000 12","2001 01","2001 02","2001 03","2001 04","2001 05","2001 06","2001 07","2001 08","2001 09","2001 10","2001 11","2001 12","2002 01","2002 02","2002 03","2002 04","2002 05","2002 06","2002 07","2002 08","2002 09","2002 10","2002 11","2002 12","2003 01","2003 02","2003 03","2003 04","2003 05","2003 06","2003 07","2003 08","2003 09","2003 10","2003 11","2003 12","2004 01","2004 02","2004 03","2004 04","2004 05","2004 06","2004 07","2004 08","2004 09","2004 10","2004 11","2004 12","2005 01","2005 02","2005 03","2005 04","2005 05","2005 06","2005 07","2005 08","2005 09","2005 10","2005 11","2005 12","2006 01","2006 02","2006 03","2006 04","2006 05","2006 06","2006 07","2006 08","2006 09","2006 10","2006 11","2006 12","2007 01","2007 02","2007 03","2007 04","2007 05","2007 06","2007 07","2007 08","2007 09","2007 10","2007 11","2007 12","2008 01","2008 02","2008 03","2008 04","2008 05","2008 06","2008 07","2008 08","2008 09","2008 10","2008 11","2008 12","2009 01","2009 02","2009 03","2009 04","2009 05","2009 06","2009 07","2009 08","2009 09","2009 10","2009 11","2009 12","2010 01","2010 02","2010 03","2010 04","2010 05","2010 06","2010 07","2010 08","2010 09","2010 10","2010 11","2010 12","2011 01","2011 02","2011 03","2011 04","2011 05","2011 06","2011 07","2011 08","2011 09","2011 10","2011 11","2011 12","2012 01","2012 02","2012 03","2012 04","2012 05","2012 06","2012 07","2012 08","2012 09","2012 10","2012 11","2012 12","2013 01","2013 02","2013 03","2013 04","2013 05","2013 06","2013 07","2013 08","2013 09","2013 10","2013 11","2013 12","2014 01","2014 02","2014 03","2014 04","2014 05","2014 06","2014 07","2014 08","2014 09","2014 10","2014 11","2014 12","2015 01","2015 02","2015 03","2015 04","2015 05","2015 06","2015 07","2015 08","2015 09","2015 10","2015 11","2015 12","2016 01","2016 02","2016 03","2016 04","2016 05","2016 06","2016 07","2016 08","2016 09","2016 10","2016 11","2016 12","2017 01","2017 02","2017 03","2017 04","2017 05","2017 06","2017 07","2017 08","2017 09","2017 10","2017 11","2017 12","2018 01","2018 02","2018 03","2018 04","2018 05","2018 06","2018 07","2018 08","2018 09","2018 10","2018 11","2018 12","2019 01","2019 02","2019 03","2019 04","2019 05","2019 06","2019 07","2019 08","2019 09","2019 10","2019 11","2019 12"
"Yolo Bypass","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0643333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0.01355,0.00248,0,0,0,NA,NA,NA,NA,0.00342857142857143,0.00234666666666667,0.27,0.00444285714285714,0.014,0,0,NA,NA,NA,NA,NA,NA,0.00317142857142857,0,0,0,0,0.25,0,0,NA,NA,NA,NA,0,0.6875,0,0,0,0.362142857142857,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.135,0.05,NA,0.02,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0.0125,0,0.0125,0,0.01,0,0.01,0.0073,0.012,0,0.05625,0,0.0107142857142857,0,0.01016,0.00285,0.001,0,0.00075,0.006,0.001036,0,0.0024225,0.0027,0.001036,0,0.0166666666666667,0,0.0006475,0.000172666666666667,0.001036,0,0.00179666666666667,0.00325,0.001036,0.0053,0.001036,0.000863333333333333,0.001036,0,0.000863333333333333,0,0.001036,0,0.001,0.0033,0.0012,0,0.0015,0,0.001,3.7606,0.001,0,0.000857142857142857,0,0.000857142857142857,0,0,0,0.0012,0.0015,0.00025,0,0.000875,NA,0,0,8e-04,NA,0,NA,0.00116666666666667,0,0.00025,0.02554,0.000545454545454545,0,0,0,0.0015,NA,0,NA,0.00177777777777778,0,5e-04,0,5e-04,0,0.00105,0,0,0,0.00148,0.0021,0.0042,NA,0,1e-04,0.00486666666666667,0.00493333333333333,0,0.00025,0,0,0.00125,0.000275,0.000833333333333333,0,0.00125,0.00075,0.000857142857142857,0.00246666666666667,0.000727272727272727,0.00114285714285714,6e-04,0.00075,0.000428571428571429,0.00075,6e-04,0.000875,0.001,0,0.02875,0,0.24,0.00196666666666667,0.0014,0.00386666666666667,0,0,0,0.00125,0.00166666666666667,0,0.00125,0,0,0.000833333333333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Delta","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,0.0146666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.052,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0.000564705882352941,0,0,0,0.00416666666666667,0.000857142857142857,0.0038,0.00433333333333333,0,0,0,0,0,0,0.01,0,0.0043,0.015,0,0.00126,0.00166666666666667,0.01,0,0.00183333333333333,0,0,0.01125,0,0.00285,0.0045,0.00955,0.0061,0.0052,NA,NA,0,0.0056,NA,0.0074,0.05,0.0061,0,0.000666666666666667,0.550692307692308,0.0136666666666667,0,NA,0,0.0151875,0.0226666666666667,0.0286666666666667,3.62,0,0,0.006625,0.0343666666666667,0,0,NA,0,0.001875,0.000545454545454545,0,0,0.024,0.00150909090909091,0.00922222222222222,0.000295238095238095,0.0018,0.0051,0,0,0,0.00809090909090909,0.004,0,0.000766666666666667,0.000608333333333333,0.00095,0.000592857142857143,0.0227833333333333,0,0,0,0.02968,0.00615,0.003,0,0.00150833333333333,0.000483333333333333,0.000738461538461538,0.0140916666666667,0.31,0.0108,0,0,0,0.00095,0,0,0,0,0,0,0,0,0,0,0.00123,0,0.000375,0,0,0,0.00118181818181818,0,0.0246714285714286,0.00102857142857143,0.00078,0,0.0047875,0.0032,0.0903857142857143,0,0,0,0,0.00222222222222222,0.01788,0.174666666666667,0,0,0,0.00042,0.000625,0,0.0032,0,4e-04,0.000658333333333333,0.5241,0,0,0,0,0,0.0535294117647059,0,0,0,0,0,0,0,0,0,0,0.000233333333333333,0,0,0.00875,0,0,0,0,0,0,0,0.01925,0,0.7,0,0,0,0,0,0.0528,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Delta","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.516,0,NA,NA,NA,NA,0,0.0012,NA,0.0014,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0.001175,NA,NA,0,0,0,0,0.0105,0.005,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.000375,0,0.0145,0,0,0,0,1.1522125,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0.00128571428571429,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower San Joaquin River","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Confluence","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0106176,NA,0.0107212,NA,NA,NA,0.00361222,NA,NA,NA,NA,NA,0.0645044,NA,0.000252,NA,NA,0.0076275,NA,NA,NA,NA,NA,0.0717432,NA,NA,0.1830206,NA,NA,NA,0.190256,NA,NA,NA,NA,NA,6.3e-05,NA,8.5e-07,NA,NA,0.0002585,NA,NA,NA,NA,NA,NA,0.000312,NA,0.00037235,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000131333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000151333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000527963333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000682333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000598666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00237,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE Suisun","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh","chlorpyrifos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
