"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1989","01","Jan","Wet","NW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","NE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Suisun Marsh","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Confluence","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Yolo Bypass","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","East Delta","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower Sacramento River","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower San Joaquin River","diazinon",NA,NA,NA,NA,NA,"1989 01"
"1989","02","Feb","Wet","NW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","NE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Suisun Marsh","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Confluence","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Yolo Bypass","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","East Delta","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower Sacramento River","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower San Joaquin River","diazinon",NA,NA,NA,NA,NA,"1989 02"
"1989","03","Mar","Wet","NW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","NE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SW Suisun","diazinon",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SE Suisun","diazinon",NA,NA,NA,NA,NA,"1989 03"
