"RiskRegion","Analyte","1989 01","1989 02","1989 03","1989 04","1989 05","1989 06","1989 07","1989 08","1989 09","1989 10","1989 11","1989 12","1990 01","1990 02","1990 03","1990 04","1990 05","1990 06","1990 07","1990 08","1990 09","1990 10","1990 11","1990 12","1991 01","1991 02","1991 03","1991 04","1991 05","1991 06","1991 07","1991 08","1991 09","1991 10","1991 11","1991 12","1992 01","1992 02","1992 03","1992 04","1992 05","1992 06","1992 07","1992 08","1992 09","1992 10","1992 11","1992 12","1993 01","1993 02","1993 03","1993 04","1993 05","1993 06","1993 07","1993 08","1993 09","1993 10","1993 11","1993 12","1994 01","1994 02","1994 03","1994 04","1994 05","1994 06","1994 07","1994 08","1994 09","1994 10","1994 11","1994 12","1995 01","1995 02","1995 03","1995 04","1995 05","1995 06","1995 07","1995 08","1995 09","1995 10","1995 11","1995 12","1996 01","1996 02","1996 03","1996 04","1996 05","1996 06","1996 07","1996 08","1996 09","1996 10","1996 11","1996 12","1997 01","1997 02","1997 03","1997 04","1997 05","1997 06","1997 07","1997 08","1997 09","1997 10","1997 11","1997 12","1998 01","1998 02","1998 03","1998 04","1998 05","1998 06","1998 07","1998 08","1998 09","1998 10","1998 11","1998 12","1999 01","1999 02","1999 03","1999 04","1999 05","1999 06","1999 07","1999 08","1999 09","1999 10","1999 11","1999 12","2000 01","2000 02","2000 03","2000 04","2000 05","2000 06","2000 07","2000 08","2000 09","2000 10","2000 11","2000 12","2001 01","2001 02","2001 03","2001 04","2001 05","2001 06","2001 07","2001 08","2001 09","2001 10","2001 11","2001 12","2002 01","2002 02","2002 03","2002 04","2002 05","2002 06","2002 07","2002 08","2002 09","2002 10","2002 11","2002 12","2003 01","2003 02","2003 03","2003 04","2003 05","2003 06","2003 07","2003 08","2003 09","2003 10","2003 11","2003 12","2004 01","2004 02","2004 03","2004 04","2004 05","2004 06","2004 07","2004 08","2004 09","2004 10","2004 11","2004 12","2005 01","2005 02","2005 03","2005 04","2005 05","2005 06","2005 07","2005 08","2005 09","2005 10","2005 11","2005 12","2006 01","2006 02","2006 03","2006 04","2006 05","2006 06","2006 07","2006 08","2006 09","2006 10","2006 11","2006 12","2007 01","2007 02","2007 03","2007 04","2007 05","2007 06","2007 07","2007 08","2007 09","2007 10","2007 11","2007 12","2008 01","2008 02","2008 03","2008 04","2008 05","2008 06","2008 07","2008 08","2008 09","2008 10","2008 11","2008 12","2009 01","2009 02","2009 03","2009 04","2009 05","2009 06","2009 07","2009 08","2009 09","2009 10","2009 11","2009 12","2010 01","2010 02","2010 03","2010 04","2010 05","2010 06","2010 07","2010 08","2010 09","2010 10","2010 11","2010 12","2011 01","2011 02","2011 03","2011 04","2011 05","2011 06","2011 07","2011 08","2011 09","2011 10","2011 11","2011 12","2012 01","2012 02","2012 03","2012 04","2012 05","2012 06","2012 07","2012 08","2012 09","2012 10","2012 11","2012 12","2013 01","2013 02","2013 03","2013 04","2013 05","2013 06","2013 07","2013 08","2013 09","2013 10","2013 11","2013 12","2014 01","2014 02","2014 03","2014 04","2014 05","2014 06","2014 07","2014 08","2014 09","2014 10","2014 11","2014 12","2015 01","2015 02","2015 03","2015 04","2015 05","2015 06","2015 07","2015 08","2015 09","2015 10","2015 11","2015 12","2016 01","2016 02","2016 03","2016 04","2016 05","2016 06","2016 07","2016 08","2016 09","2016 10","2016 11","2016 12","2017 01","2017 02","2017 03","2017 04","2017 05","2017 06","2017 07","2017 08","2017 09","2017 10","2017 11","2017 12","2018 01","2018 02","2018 03","2018 04","2018 05","2018 06","2018 07","2018 08","2018 09","2018 10","2018 11","2018 12","2019 01","2019 02","2019 03","2019 04","2019 05","2019 06","2019 07","2019 08","2019 09","2019 10","2019 11","2019 12"
"Yolo Bypass","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacramento River","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166466666666667,0.00421,0.0148825,0.008675,0.00896125,0.0044375,0.010945,0.0044075,0.0043125,0.00125,0.00233,0.00785,0.00605,0.00916,0.00719333333333333,0.00099,0.002015,0.002355,0.001705,0.002895,0.00349,0.00463666666666667,0.004125,0.0133,0.00263,0.010495,0.00441,0.002845,0.00243,0.001725,0.00091,0.00249,0.00069,0.000756666666666667,0.000875,0.004485,0.00933,0.00622,0.01227,0.00108,0.00467,0.00117,0.003405,0.000605,0.00321,0.00189,NA,0.004155,0.016185,0.01465,0.00134,0.001085,0.003995,9e-04,7e-04,0.0041,0.0021,5e-04,0.000835,0.00056,0.002605,0.00459,0.01057,0.004315,0.002745,0.000925,0.000645,7.8e-05,NA,0.00072,0.0003885,0.00048,0.00201933333333333,8.8e-05,4.4e-05,0.000233333333333333,0.001264,0.000284,0.0025355,2.8e-05,0.0001895,0.001325,0.0001015,0.0001185,8.75e-05,0.00101633333333333,0.00116775,4.6e-05,0.00145,0.000375,9.05e-05,0.0003695,5.2e-05,0.00145,3.95e-05,0.000483,5.05e-05,0.000143333333333333,0.000331,6.3e-05,6.65e-05,0.0004155,NA,0.002134,NA,0,NA,0.000962,NA,0.00908,NA,0.000259666666666667,NA,0.0014035,NA,0.00146,NA,0.000951666666666667,NA,0.001189,7e-04,0.001241,NA,6.6e-05,NA,0.00185,NA,0.000303,NA,0.000258,NA,0.000409,NA,0.000527,NA,0.003623025,0.0001155,0.004535,0.0003228,0.0011988,0.00145,0.000855,0.00055,0.00048775,NA,0.00041364,NA,0.001712375,0.00106666666666667,0.0011072,0.00266506666666667,0.00069122,NA,7.18e-05,NA,0.0007842,4.4e-05,0.0155367,NA,0.00135,NA,0.0019851,88,NA,NA,0.0010485,9e-04,0.000123,NA,0.00145606666666667,NA,NA,NA,0.000429,NA,NA,NA,0.0002971,NA,0.00097,8.84e-05,8.635e-05,NA,NA,NA,0.0003495,NA,81,NA,0.00143333333333333,NA,0.0056,NA,4e-05,NA,9e-05,NA,NA,NA,37,NA,4e-05,NA,NA,0.0024,0.0015,NA,NA,0.0039,NA,NA,132,NA,0.001,NA,0.00017,0.0051,0.0017,0.0015,0.00325,0.00195,0.002,0.0015,33.00065,0.0012,0.0011,0.000725,8e-04,NA,0.00104666666666667,0.00028,NA,0.0011,NA,NA,NA,NA,NA,5e-05,0.002955,NA,0.0015,NA,NA,0.0028,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Delta","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,9e-05,0.000235,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,NA,2e-04,NA,0.00025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Delta","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower Sacramento River","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Confluence","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1032925,NA,0.00399,NA,NA,NA,119.44857,NA,NA,NA,NA,NA,125.0018925,NA,0.00183,NA,NA,0.000805,209.2,NA,NA,NA,NA,142.585985,NA,NA,0.004305,NA,NA,NA,13.3773125,NA,NA,NA,NA,NA,111.758145,NA,0.00425,NA,NA,43.0755375,NA,NA,NA,NA,NA,NA,55.2504395925,NA,0.000280807,NA,NA,30.6700043133333,NA,NA,NA,NA,NA,NA,0.003357575,NA,NA,NA,NA,32.975600775,NA,NA,NA,NA,NA,NA,0.003761385,NA,NA,NA,NA,NA,10.0735853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.887975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.776974514625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04997807,NA,NA,NA,NA,NA,NA,0.0018,NA,NA,NA,NA,NA,10.153113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.75083047075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.5002925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.5001785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.76004,NA,NA,NA,NA,30.59,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,0.00372,0.00203333333333333,0.00233333333333333,NA,1.1205,4.65e-05,NA,NA,NA,NA,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.0295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE Suisun","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00905711,0.00347333,NA,NA,NA,NA,0.000703262,NA,NA,NA,NA,0.00562327833333333,0.00880676333333333,NA,NA,NA,0.00503428,NA,NA,50.0017604074,NA,NA,NA,0.00644839333333333,0.00609649,0.00959026,0.0083828175,NA,NA,NA,0,NA,0.055,NA,NA,NA,0.011749825,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.0086221275,0.0173061509090909,NA,NA,NA,NA,NA,NA,0.037022348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1147705,0.00023,NA,NA,0.0067706,0.00617,0.0031122,0.0026766,0.0063185,0.00141,NA,NA,1.1e-05,NA,NA,NA,NA,NA,NA,0.00264,0.00495,0.0037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE Suisun","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.06421,NA,0.014,NA,NA,NA,173.9227,NA,NA,NA,NA,NA,122.500655,NA,0.00065,NA,NA,0.0235,281,NA,NA,NA,NA,128.409895,NA,NA,0.00269,NA,NA,NA,144.000955,NA,NA,NA,NA,NA,140.9698,NA,0.00157,NA,NA,166.000975,NA,NA,NA,NA,NA,NA,119.501419675,NA,0.0248856,NA,NA,127.0125416,NA,NA,NA,NA,NA,NA,0.000116,NA,NA,NA,NA,0.1509235,NA,NA,NA,NA,NA,NA,0.000701066,NA,NA,NA,NA,NA,155.358019005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.542176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13047971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7610883333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47214e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2310083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,0.0042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5,3.8e-05,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh","mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19093,NA,NA,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
