"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1989","01","Jan","Wet","NW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","NE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Suisun Marsh","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Yolo Bypass","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","East Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower San Joaquin River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 01"
"1989","02","Feb","Wet","NW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","NE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Suisun Marsh","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Yolo Bypass","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","East Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower San Joaquin River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 02"
"1989","03","Mar","Wet","NW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","NE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SW Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SE Suisun","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Suisun Marsh","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1989 03"
