"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 06"
"1995","07","Jul","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 07"
"1995","08","Aug","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 08"
"1995","09","Sep","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 09"
"1995","10","Oct","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 10"
"1995","11","Nov","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 11"
"1995","12","Dec","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1995 12"
"1996","01","Jan","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 01"
"1996","02","Feb","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 02"
"1996","03","Mar","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 03"
"1996","04","Apr","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 04"
"1996","05","May","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 05"
"1996","06","Jun","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 06"
"1996","07","Jul","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 07"
"1996","08","Aug","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 08"
"1996","09","Sep","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 09"
"1996","10","Oct","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 10"
"1996","11","Nov","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 11"
"1996","12","Dec","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1996 12"
"1997","01","Jan","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 01"
"1997","02","Feb","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 02"
"1997","03","Mar","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 03"
"1997","04","Apr","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 04"
"1997","05","May","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 05"
"1997","06","Jun","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","06","Jun","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","06","Jun","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","06","Jun","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","06","Jun","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","06","Jun","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 06"
"1997","07","Jul","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","07","Jul","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","07","Jul","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","07","Jul","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","07","Jul","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","07","Jul","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 07"
"1997","08","Aug","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","08","Aug","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","08","Aug","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","08","Aug","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","08","Aug","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","08","Aug","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 08"
"1997","09","Sep","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","09","Sep","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","09","Sep","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","09","Sep","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","09","Sep","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","09","Sep","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 09"
"1997","10","Oct","Dry","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","10","Oct","Dry","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","10","Oct","Dry","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","10","Oct","Dry","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","10","Oct","Dry","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","10","Oct","Dry","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 10"
"1997","11","Nov","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","11","Nov","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","11","Nov","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","11","Nov","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","11","Nov","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","11","Nov","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 11"
"1997","12","Dec","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1997","12","Dec","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1997","12","Dec","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1997","12","Dec","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1997","12","Dec","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1997","12","Dec","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1997 12"
"1998","01","Jan","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","01","Jan","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","01","Jan","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","01","Jan","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","01","Jan","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","01","Jan","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 01"
"1998","02","Feb","Wet","Suisun Bay","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
"1998","02","Feb","Wet","Confluence","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
"1998","02","Feb","Wet","Sacramento River","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
"1998","02","Feb","Wet","North Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
"1998","02","Feb","Wet","Central Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
"1998","02","Feb","Wet","South Delta","bifenthrin",NA,NA,NA,NA,NA,"1998 02"
