"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1995 01"
"1995","01","Jan","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","chlorpyrifos",2,6.7e-05,0,6.7e-05,6.7e-05,"1995 02"
"1995","02","Feb","Wet","Confluence","chlorpyrifos",5,0.0106176,0.0236924909818491,4.5e-06,0.053,"1995 02"
"1995","02","Feb","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","chlorpyrifos",2,8.15e-05,4.03050865276332e-05,5.3e-05,0.00011,"1995 04"
"1995","04","Apr","Wet","Confluence","chlorpyrifos",5,0.0107212,0.0236347337767955,5.7e-05,0.053,"1995 04"
"1995","04","Apr","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 06"
"1995","07","Jul","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 07"
"1995","08","Aug","Dry","Suisun Bay","chlorpyrifos",2,1.45e-05,2.05060966544099e-05,0,2.9e-05,"1995 08"
"1995","08","Aug","Dry","Confluence","chlorpyrifos",5,0.00361222,0.00804301771830698,1.1e-06,0.018,"1995 08"
"1995","08","Aug","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 08"
"1995","09","Sep","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 09"
"1995","10","Oct","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","10","Oct","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 10"
"1995","11","Nov","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","11","Nov","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 11"
"1995","12","Dec","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1995","12","Dec","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1995 12"
"1996","01","Jan","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 01"
"1996","01","Jan","Wet","Central Delta","chlorpyrifos",1,0.14,NA,0.14,0.14,"1996 01"
"1996","01","Jan","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 01"
"1996","02","Feb","Wet","Suisun Bay","chlorpyrifos",2,0.00036,0,0.00036,0.00036,"1996 02"
"1996","02","Feb","Wet","Confluence","chlorpyrifos",5,0.0645044,0.143385411727623,0.000321,0.321,"1996 02"
"1996","02","Feb","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 02"
"1996","02","Feb","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 02"
"1996","03","Mar","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 03"
"1996","03","Mar","Wet","Central Delta","chlorpyrifos",1,0.13,NA,0.13,0.13,"1996 03"
"1996","03","Mar","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 03"
"1996","04","Apr","Wet","Suisun Bay","chlorpyrifos",2,0.000218,0.000257386868351903,3.6e-05,4e-04,"1996 04"
"1996","04","Apr","Wet","Confluence","chlorpyrifos",5,0.000252,0.000147885090526395,0,0.00036,"1996 04"
"1996","04","Apr","Wet","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 04"
"1996","04","Apr","Wet","Central Delta","chlorpyrifos",1,0.06,NA,0.06,0.06,"1996 04"
"1996","04","Apr","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 04"
"1996","05","May","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","05","May","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 05"
"1996","06","Jun","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","06","Jun","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 06"
"1996","07","Jul","Dry","Suisun Bay","chlorpyrifos",2,7.5e-06,1.06066017177982e-05,0,1.5e-05,"1996 07"
"1996","07","Jul","Dry","Confluence","chlorpyrifos",5,0.0076275,0.0169787441241983,2.8e-05,0.038,"1996 07"
"1996","07","Jul","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 07"
"1996","07","Jul","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 07"
"1996","08","Aug","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","08","Aug","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 08"
"1996","09","Sep","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","09","Sep","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 09"
"1996","10","Oct","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Sacramento River","chlorpyrifos",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 10"
"1996","10","Oct","Dry","Central Delta","chlorpyrifos",4,0.0425,0.0512282474161798,0,0.103,"1996 10"
"1996","10","Oct","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 10"
"1996","11","Nov","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1996 11"
"1996","11","Nov","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 11"
"1996","11","Nov","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 11"
"1996","12","Dec","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1996 12"
"1996","12","Dec","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 12"
"1996","12","Dec","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1996 12"
"1997","01","Jan","Wet","Suisun Bay","chlorpyrifos",2,0.0002405,0.000310419876940894,2.1e-05,0.00046,"1997 01"
"1997","01","Jan","Wet","Confluence","chlorpyrifos",5,0.0717432,0.160022501327782,1.4e-05,0.358,"1997 01"
"1997","01","Jan","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1997 01"
"1997","01","Jan","Wet","North Delta","chlorpyrifos",1,0,NA,0,0,"1997 01"
"1997","01","Jan","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 01"
"1997","01","Jan","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 01"
"1997","02","Feb","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1997 02"
"1997","02","Feb","Wet","North Delta","chlorpyrifos",1,0,NA,0,0,"1997 02"
"1997","02","Feb","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 02"
"1997","02","Feb","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 02"
"1997","03","Mar","Wet","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Sacramento River","chlorpyrifos",1,0,NA,0,0,"1997 03"
"1997","03","Mar","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 03"
"1997","03","Mar","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 03"
"1997","04","Apr","Wet","Suisun Bay","chlorpyrifos",2,0.000221,0,0.000221,0.000221,"1997 04"
"1997","04","Apr","Wet","Confluence","chlorpyrifos",5,0.1830206,0.408071080679335,0,0.913,"1997 04"
"1997","04","Apr","Wet","Sacramento River","chlorpyrifos",2,0,0,0,0,"1997 04"
"1997","04","Apr","Wet","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 04"
"1997","04","Apr","Wet","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 04"
"1997","05","May","Dry","Suisun Bay","chlorpyrifos",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Confluence","chlorpyrifos",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Sacramento River","chlorpyrifos",2,0,0,0,0,"1997 05"
"1997","05","May","Dry","North Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","Central Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 05"
"1997","05","May","Dry","South Delta","chlorpyrifos",NA,NA,NA,NA,NA,"1997 05"
