"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","copper",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","copper",6,4.45,2.34755191635883,2,6.9,"1995 01"
"1995","01","Jan","Wet","North Delta","copper",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","copper",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","copper",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","copper",6,22962.2632333333,30475.6776357006,1.9512,63531,"1995 02"
"1995","02","Feb","Wet","Confluence","copper",4,15104.253825,19081.6642119104,1.8595,39696,"1995 02"
"1995","02","Feb","Wet","Sacramento River","copper",4,2.05,2.22186108176606,0,5.2,"1995 02"
"1995","02","Feb","Wet","North Delta","copper",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","copper",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","copper",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","copper",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","copper",4,2.625,1.41037819986934,1.2,4.5,"1995 03"
"1995","03","Mar","Wet","North Delta","copper",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","copper",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","copper",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","copper",3,4.10533333333333,4.2845939519788,1.49,9.05,"1995 04"
"1995","04","Apr","Wet","Confluence","copper",2,1.569,0.0763675323681472,1.515,1.623,"1995 04"
"1995","04","Apr","Wet","Sacramento River","copper",4,2.55,2.70862818907776,0.9,6.6,"1995 04"
"1995","04","Apr","Wet","North Delta","copper",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","copper",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","copper",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","copper",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","copper",4,4,2.21359436211787,1.2,6.6,"1995 05"
"1995","05","May","Dry","North Delta","copper",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","copper",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","copper",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","copper",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","copper",4,2.45,1.43410831761993,1.2,4.1,"1995 06"
"1995","06","Jun","Dry","North Delta","copper",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","copper",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","copper",NA,NA,NA,NA,NA,"1995 06"
"1995","07","Jul","Dry","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Confluence","copper",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Sacramento River","copper",4,0.975,0.330403793359983,0.6,1.4,"1995 07"
"1995","07","Jul","Dry","North Delta","copper",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Central Delta","copper",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","South Delta","copper",NA,NA,NA,NA,NA,"1995 07"
"1995","08","Aug","Dry","Suisun Bay","copper",6,16717.505,20929.9793019733,1.56,45300,"1995 08"
"1995","08","Aug","Dry","Confluence","copper",4,14250.755,17339.2034830833,1.47,35200,"1995 08"
"1995","08","Aug","Dry","Sacramento River","copper",4,1.55,0.759385716659635,0.8,2.5,"1995 08"
"1995","08","Aug","Dry","North Delta","copper",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Central Delta","copper",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","South Delta","copper",NA,NA,NA,NA,NA,"1995 08"
"1995","09","Sep","Dry","Suisun Bay","copper",NA,NA,NA,NA,NA,"1995 09"
