"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","diazinon",2,0.00355,0.00502045814642449,0,0.0071,"1995 02"
"1995","02","Feb","Wet","Confluence","diazinon",5,1.5630914,3.48654001050752,0,7.8,"1995 02"
"1995","02","Feb","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","diazinon",2,0.00135,0.00190918830920368,0,0.0027,"1995 04"
"1995","04","Apr","Wet","Confluence","diazinon",5,0.78248,1.74274760278131,0,3.9,"1995 04"
"1995","04","Apr","Wet","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 06"
"1995","07","Jul","Dry","Suisun Bay","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Confluence","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 07"
"1995","08","Aug","Dry","Suisun Bay","diazinon",2,0.0018,0,0.0018,0.0018,"1995 08"
"1995","08","Aug","Dry","Confluence","diazinon",5,0.30038,0.670608471464535,0,1.5,"1995 08"
"1995","08","Aug","Dry","Sacramento River","diazinon",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","North Delta","diazinon",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Central Delta","diazinon",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","South Delta","diazinon",NA,NA,NA,NA,NA,"1995 08"
