"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","malathion",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","malathion",1,0,NA,0,0,"1995 01"
"1995","01","Jan","Wet","North Delta","malathion",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","malathion",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Confluence","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Sacramento River","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","North Delta","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","malathion",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","North Delta","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","malathion",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Confluence","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Sacramento River","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","North Delta","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","malathion",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","North Delta","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","malathion",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","malathion",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","malathion",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","malathion",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","North Delta","malathion",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","malathion",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","malathion",NA,NA,NA,NA,NA,"1995 06"
