"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 06"
"1995","07","Jul","Dry","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","07","Jul","Dry","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 07"
"1995","08","Aug","Dry","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Sacramento River","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","North Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","Central Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","08","Aug","Dry","South Delta","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 08"
"1995","09","Sep","Dry","Suisun Bay","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 09"
"1995","09","Sep","Dry","Confluence","paraquat_dichloride",NA,NA,NA,NA,NA,"1995 09"
