"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1989","01","Jan","Wet","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Yolo Bypass","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","East Delta","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","01","Jan","Wet","Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,"1989 01"
"1989","02","Feb","Wet","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Yolo Bypass","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","East Delta","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","02","Feb","Wet","Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,"1989 02"
"1989","03","Mar","Wet","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Yolo Bypass","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","East Delta","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Lower Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","03","Mar","Wet","Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,"1989 03"
"1989","04","Apr","Wet","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Yolo Bypass","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","East Delta","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Lower Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","04","Apr","Wet","Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,"1989 04"
"1989","05","May","Dry","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Confluence","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","South Delta","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Yolo Bypass","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","East Delta","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Lower Sacramento River","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","05","May","Dry","Lower San Joaquin River","mercury",NA,NA,NA,NA,NA,"1989 05"
"1989","06","Jun","Dry","NW Suisun","mercury",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","NE Suisun","mercury",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","SW Suisun","mercury",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","SE Suisun","mercury",NA,NA,NA,NA,NA,"1989 06"
"1989","06","Jun","Dry","Suisun Marsh","mercury",NA,NA,NA,NA,NA,"1989 06"
